,categories,categoriescountsemicolon
6441,business;economyandfinance;shopping,2
6506,business;entertainment;sports,2
6667,business;drugs;shopping,2
6869,games;mediasharing,1
6888,mediasharing;newsandmedia,1
6930,business;informationtech;socialnetworking,2
6933,games;informationtech;newsandmedia,2
7070,education;mediasharing,1
7098,business;informationtech;searchenginesandportals,2
7163,entertainment;messageboardsandforums,1
7228,entertainment;mediasharing;streamingmedia,2
7308,informationtech;proxyandfilteravoidance,1
7478,business;mediasharing,1
7655,entertainment;games;mediasharing,2
7680,adult;blogsandpersonal,1
7699,entertainment;illegalcontent;mediasharing,2
8021,education;games;shopping,2
8061,blogsandpersonal;business,1
8155,entertainment;shopping;streamingmedia,2
8503,business;shopping;weapons,2
8548,realestate;travel,1
8897,alcoholandtobacco;drugs;shopping,2
8974,blogsandpersonal;education,1
9284,adult;chatandmessaging;streamingmedia,2
9386,education;health;shopping,2
9497,education;foodandrecipes,1
9567,realestate;streamingmedia,1
9670,business;entertainment;foodandrecipes,2
10025,alcoholandtobacco;blogsandpersonal;entertainment,2
10031,informationtech;streamingmedia,1
10070,business;education;sports,2
10217,education;informationtech;mediasharing,2
10269,business;economyandfinance;informationtech,2
10317,business;education;vehicles,2
10326,business;realestate;vehicles,2
10448,sports;vehicles,1
10688,adult;informationtech;streamingmedia,2
10793,messageboardsandforums;weapons,1
10802,education;entertainment;religion,2
10820,contentserver;informationtech,1
10877,business;weapons,1
10972,education;shopping;vehicles,2
11241,education;gambling;informationtech,2
11338,chatandmessaging;informationtech,1
11346,alcoholandtobacco;foodandrecipes;shopping,2
11538,business;shopping;sports,2
11547,education;entertainment;sports,2
11573,education;entertainment;foodandrecipes,2
11609,socialnetworking;travel,1
11653,adult;entertainment;games,2
11692,personals;streamingmedia,1
11718,business;economyandfinance;newsandmedia,2
11840,education;informationtech;shopping,2
11905,alcoholandtobacco;foodandrecipes,1
11926,adult;entertainment;sports,2
12163,alcoholandtobacco;business;education,2
12581,alcoholandtobacco;business;entertainment,2
12585,business;informationtech;messageboardsandforums,2
12732,newsandmedia;searchenginesandportals,1
12752,business;foodandrecipes;health,2
12816,religion,0
12841,gambling;games;shopping,2
12936,education;newsandmedia;travel,2
13155,blogsandpersonal;foodandrecipes,1
13327,entertainment;gambling,1
13549,business;education;religion,2
13862,entertainment;shopping;vehicles,2
13909,games;shopping;sports,2
13921,messageboardsandforums;shopping,1
13930,entertainment;socialnetworking;vehicles,2
13976,gambling;games;sports,2
14076,games;informationtech;shopping,2
14190,religion;travel,1
14509,alcoholandtobacco;business;foodandrecipes,2
14517,blogsandpersonal;education;newsandmedia,2
14696,entertainment;shopping;weapons,2
14753,streamingmedia;travel,1
14762,blogsandpersonal;business;education;entertainment,3
15004,blogsandpersonal;informationtech,1
15257,blogsandpersonal;education;informationtech,2
15561,messageboardsandforums;searchenginesandportals,1
15740,blogsandpersonal;newsandmedia,1
15813,alcoholandtobacco;business;shopping,2
15886,adult;business;streamingmedia,2
15911,realestate;streamingmedia;travel,2
16602,entertainment;travel,1
16788,entertainment;foodandrecipes,1
16932,business;newsandmedia;travel,2
16954,drugs;shopping,1
16991,alcoholandtobacco;education,1
17267,foodandrecipes;shopping;weapons,2
17493,economyandfinance;entertainment;newsandmedia,2
18485,business;proxyandfilteravoidance,1
18757,business;realestate;shopping,2
18869,shopping;streamingmedia,1
18932,business;education;streamingmedia,2
19026,business;chatandmessaging,1
19149,drugs,0
19214,business;newsandmedia;vehicles,2
19298,education;health;newsandmedia,2
19330,business;messageboardsandforums;shopping,2
19377,entertainment;shopping;sports,2
19652,entertainment;vehicles,1
19813,business;games;sports,2
20420,malicious,0
20676,business;health;shopping,2
20737,business;chatandmessaging;informationtech,2
20822,education;searchenginesandportals,1
20920,business;streamingmedia;travel,2
21116,business;chatandmessaging;streamingmedia,2
21586,education;games;mediasharing,2
21744,education;foodandrecipes;shopping,2
22490,business;newsandmedia;shopping,2
22527,socialnetworking,0
22766,entertainment;humor,1
22979,adult;socialnetworking,1
23285,entertainment;informationtech;mediasharing,2
23363,economyandfinance;newsandmedia,1
23724,economyandfinance;games,1
23764,economyandfinance;shopping;travel,2
23877,economyandfinance;education;informationtech,2
24740,adult;socialnetworking;sports,2
25880,blogsandpersonal;entertainment;newsandmedia,2
26333,education;weapons,1
26543,education;messageboardsandforums;shopping,2
26638,economyandfinance;education;entertainment,2
26939,blogsandpersonal;business;foodandrecipes,2
26995,economyandfinance;education;travel,2
27243,business;informationtech;proxyandfilteravoidance,2
27250,business;searchenginesandportals,1
27516,entertainment;foodandrecipes;shopping,2
28642,alcoholandtobacco;education;shopping,2
28798,education;translators,1
29508,informationtech;jobrelated,1
29812,business;education;translators,2
29833,entertainment;messageboardsandforums;weapons,2
29851,foodandrecipes;health,1
30170,foodandrecipes;travel,1
30402,business;informationtech;streamingmedia,2
30922,deceptive;informationtech,1
31299,business;economyandfinance;travel,2
31359,business;parked,1
31392,education;informationtech;searchenginesandportals,2
31789,education;streamingmedia;travel,2
32083,education;entertainment;games;shopping,3
32240,education;informationtech;messageboardsandforums,2
32372,newsandmedia;vehicles,1
32567,drugs;education;health,2
32852,messageboardsandforums;shopping;vehicles,2
33067,drugs;messageboardsandforums,1
33912,drugs;foodandrecipes;shopping,2
